path,tracked,bytes,lines,category,review_depth,recommended_disposition,purpose_or_controls,imports,symbols,sha256
platform/Core/viewer_stage_io.h,yes,1561,34,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,stddef.h; stdio.h,bdd_viewer_enter_edit_layout_after_bdb_load; bdd_viewer_make_ext; bdd_viewer_load_stage_for_path; bdd_viewer_roundtrip_save_stage_for_path; bdd_viewer_undo_move_smoke_for_path; bdd_viewer_import_img_smoke_for_path; bdd_viewer_import_img_folder_smoke_for_path; bdd_viewer_import_lod_smoke_for_path; bdd_viewer_import_png_smoke_for_path; bdd_viewer_new_project_save_smoke; bdd_viewer_split_object_smoke_for_path; bdd_viewer_compact_palettes_smoke_for_path; bdd_viewer_module_pick_smoke_for_path,84ae8eae941a2020467219bd104249b8e25b78a8a4bcb42c9c795c00667b5c12
platform/Core/viewer_test_levels.cpp,yes,11446,341,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/viewer_test_levels.h; Core/bdd_core.h; Core/editor_project_globals.h; Core/viewer_load.h; cstdio; cstdlib; cstring,make_ext_local; proof_rect; proof_text; proof_mark_tiles; fill_bg_proof_pixels; write_rgb555_palette; bdd_write_checker_test_level; bdd_write_bg_proof_level,d59cce7a83206241ffc4bd820227d16521134c38bcb88ff4a489e523884ca6a3
platform/Core/viewer_test_levels.h,yes,240,15,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,,bdd_write_checker_test_level; bdd_write_bg_proof_level,62bf22f001a7d9ee443bd91877e7a9ad8d5cb3830179f4d85de68fb60c408bc1
platform/Core/world_module_utils.cpp,yes,14588,427,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/world_module_utils.h; bg_editor.h; Core/bdd_core.h; Core/editor_app_globals.h; Core/editor_project_globals.h; Core/editor_project_storage.h; Core/image_lookup.h; Core/project_header.h; climits; cstdio; cstring; vector; strings.h,module_name_in_use; module_generate_unique_name; module_is_locked; module_set_locked; module_is_locked_by_index; module_selection_sync; module_selection_clear; module_selection_set_all; module_selection_count; module_selection_first; module_selection_get; module_selection_set; module_selection_toggle; module_selection_select_only; module_selection_bounds; module_selection_translate; module_ownership_changes; module_smallest_containing; object_in_locked_module; get_world_size; fit_tile_to_world; parse_module_bounds; image_max_pixel; assign_module; simple_ensure_module,7b4f03f64126c521d6be56f8627f1e8902589f111f3690f72f3a5400b72e5854
platform/Core/world_module_utils.h,yes,2967,57,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/bdd_format.h; cstddef,get_world_size; fit_tile_to_world; parse_module_bounds; image_max_pixel; assign_module; module_smallest_containing; simple_ensure_module; module_generate_unique_name; module_name_in_use; module_is_locked; module_set_locked; module_is_locked_by_index; object_in_locked_module; module_selection_clear; module_selection_set_all; module_selection_count; module_selection_first; module_selection_get; module_selection_set; module_selection_toggle; module_selection_select_only; module_selection_bounds; module_selection_translate; module_ownership_changes,180901e36853631231821a22c1fcf8430cc964957d54cee64db13ac22ecb8577
platform/Core/zip_writer.cpp,yes,5979,200,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,Core/zip_writer.h; cstdio; cstdlib; cstring; ctime; new; string; vector,dos_stamp; put16; put32; zip_writer_add_memory; zip_writer_add_file; zip_writer_close,e4d232847a23678201762f6ee3c214bb6117c45e1640c0f072477329e4051948
platform/Core/zip_writer.h,yes,821,21,Core candidate,Inventory and text index,Retain format algorithms; extract editor/runtime dependencies,,stddef.h; stdbool.h,zip_writer_add_file; zip_writer_add_memory; zip_writer_close,c393b706dc9ffc1a7e38ded02ae9ccd2f84a9122e736877071ec0f13de497631
platform/UI/actions/clipboard.cpp,yes,28841,812,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; undo_manager.h; imgui.h; array; climits; cstdlib; cstring; vector,clipboard_clear_assets; current_document_id; clipboard_is_cross_document; clipboard_find_palette; clipboard_add_palette; clipboard_find_image; clipboard_add_image_for_idx; palette_matches_clip; ensure_clip_palette_in_project; next_free_image_index; chop_image_to_map; delete_image_slot_if_unused; remove_unused_palettes_impl; image_matches_clip; ensure_clip_image_in_project; copy_selected_objects_to_clipboard; bounds_reset; bounds_add_rect; clipboard_image_dims; object_bounds_at; object_palette_for_image; nearest_object_bounds_to; rounded_div_nearest; visible_world_rect; center_group_delta_in_view; rect_intersects; center_view_on_bounds; snap_group_delta_to_asset_grid; smart_snap_group_delta_to_edges; choose_smart_paste_delta; paste_clipboard_objects,ab3ccc3348e6a9f52af89d77eac37537cc91a8fab411b8fb07623dd90f397ee9
platform/UI/actions/export_viewport.cpp,yes,2118,59,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,Core/editor_project_globals.h; Core/image_lookup.h; UI/actions/export_viewport.h; UI/dialogs/native_file_dialogs.h; libs/stb_image_write.h; imgui.h; cstdlib; cstring,export_viewport_png,8beb82e36c9c6775b744108bdde8eb75137eb71159fe93a1170d5cea0d9168a9
platform/UI/actions/export_viewport.h,yes,93,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,export_viewport_png,0ba2f5ee95f994fa9f60c27068ceb1052412b8ef812892d38ad2c9d79c3a8ebf
platform/UI/actions/module_runtime_promote.cpp,yes,5012,149,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,UI/actions/module_runtime_promote.h; bg_editor.h; bg_editor_globals.h; Core/world_module_utils.h; UI/view/toast_notifications.h; cstdio; cstring,module_runtime_info; module_runtime_in_sync; module_promote_position_to_runtime; module_runtime_promote_pending; module_promote_all_positions_to_runtime,0d1827e093c04c34ac63fe6c2c7e41199bc70bfeacf4c58a986eb9380bd8d4bc
platform/UI/actions/module_runtime_promote.h,yes,2697,57,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,module_runtime_info; module_runtime_in_sync; module_promote_position_to_runtime; module_promote_all_positions_to_runtime; module_runtime_promote_pending,53825fc401d3745fc0fcd4ddb067f7d16c97c31c68228a96949ddbde16d568e8
platform/UI/actions/object_actions.cpp,yes,23349,686,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; Core/world_module_utils.h; UI/actions/object_position_undo.h; undo_manager.h; libs/stb_image_write.h; imgui.h; climits; cstdio; cstdlib; cstring; vector,active_object_index; open_object_properties; obj_properties_take_focus_request; active_menu_image_index; normalize_object_order_to_array; move_object_to_index; object_menu_targeted; object_action_runtime_locked; object_actions_clear_selection; reorder_object_menu_targets; delete_object_targets_preserve_order; delete_object_menu_targets; delete_selected_objects_preserve_order; duplicate_object_menu_targets; flip_object_targets_mirrored; flip_object_menu_targets; center_view_on_object; edit_block_for_object; export_object_image_png_dialog; select_all_with_image_ii; select_all_in_layer_byte; assign_layer_to_object_targets; assign_palette_to_object_targets; assign_module_to_object_targets; count_visible_unselected_in_bounds; wrap_selected_objects_in_region; create_module_from_selection; module_collect_stats; module_select_objects; module_center_view; add_image_to_view_center,eb59aaa0c35364617c69f35a24bcf0c9aa4c34bf83084cd6084cd388ec03f601
platform/UI/actions/object_actions.h,yes,96,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,center_view_on_object,4640163e1b2146b323507347c6ebd76a4124998d5e8627ea2ed51e7fbdc8e34d
platform/UI/actions/object_position_undo.cpp,yes,4608,140,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,UI/actions/object_position_undo.h; Core/editor_project_globals.h; Core/editor_project_storage.h; undo_manager.h,object_position_undo_capture_selected; object_position_undo_capture_mask; object_position_undo_commit; object_record_undo_capture_selected; object_record_undo_capture_mask; object_record_undo_commit,0200a3e838657c9cee74b32df2196d3c631aaf916efe4a5aceb2d757d8012bcd
platform/UI/actions/object_position_undo.h,yes,1132,33,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,vector; Core/bdd_format.h,object_position_undo_capture_selected; object_position_undo_capture_mask; object_position_undo_commit; object_record_undo_capture_selected; object_record_undo_capture_mask; object_record_undo_commit,89b88178ff2b320bcb6cf2bb49fcf57baf131c3017d1306501b2c073dae97845
platform/UI/actions/palette_actions.cpp,yes,12678,341,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,bg_editor_globals.h; undo_manager.h; array; cstddef; cstdio; cstring; vector,merge_duplicate_palettes; update_palette_references; build_blended_palette; apply_palette_blend_tool; color_index_exact; collect_palette_pixel_indexes; apply_palette_union_merge_tool; batch_palette_rebuild,b8181517c51849f12c734aba6982f9960085d9ffd5da03bd348212fd85982ed2
platform/UI/actions/selection_helpers.cpp,yes,1273,47,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,Core/editor_project_globals.h; UI/actions/selection_helpers.h,selected_count; first_selected_object; toggle_object_selection; hide_unselected_objects; show_all_objects,4695169eb4b6a7c7acbe38da4bf71ffad6811f010e74e1e8cdb8895756e8f7dd
platform/UI/actions/selection_helpers.h,yes,195,9,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,selected_count; toggle_object_selection; hide_unselected_objects; show_all_objects,967327b7f136ad933fdfa20cf02ce472762ced617ff546bea35263d679dfe5e5
platform/UI/actions/stage_command_clipboard.cpp,yes,422,13,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,Core/editor_app_globals.h; UI/tools/mk2_stage_config.h; UI/view/toast_notifications.h; imgui.h,stage_copy_command,85cde9e52aa14be0cbb743bdd7ea0f66ae07f2516b069203c98b2b8fe4eeb180
platform/UI/app/PanelManager.cpp,yes,681,35,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,UI/app/PanelManager.h; utility,,edb0e14527649f14a88993026b853fbd34dee4034e3998eb3a272ee525f5955a
platform/UI/app/PanelManager.h,yes,670,27,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,UI/widgets/IEditorPanel.h; vector; memory,register_panel; render_panels; render_panels; clear,60b776288cdc131b7d900efb4d54ed6e1a571efa5e3d7950456e406384aaa3aa
platform/UI/app/autosave.cpp,yes,1203,39,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,Core/editor_app_globals.h; Core/editor_project_globals.h; Core/path_utils.h; Core/stage_paths.h; Core/viewer_save.h; UI/app/autosave.h; UI/tools/palette_color_tools.h; cstdio; cstring,run_auto_save_tick,443d417bf458666e5e8c5f78e8c54626ba50bc4da789e691beedf1c4a63c2930
platform/UI/app/autosave.h,yes,78,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,run_auto_save_tick,9455bc398fa89e4ec7ed56d6875333479ab0759aac641dd7fcb2ceaed577a234
platform/UI/app/editor_command_processor.cpp,yes,1017,35,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,Core/editor_commands.h; bg_editor_globals.h; vector,editor_process_commands,0e7fd827b5f68d76c2cd14ebded51e44d0c9aee41f528d424b46cdf7ffb79fce
platform/UI/app/editor_events.cpp,yes,9183,215,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; Core/world_module_utils.h; UI/sdl/sdl_object_picker.h; undo_manager.h; imgui.h; imgui_impl_sdl2.h; cstring; strings.h,bg_editor_process_event,6a2dbc95d46b8383f195af3175ebcb4e7db91ff0dc20c0bcd746cb9dbf00492d
platform/UI/app/editor_lifecycle.cpp,yes,8527,221,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; Core/editor_commands.h; undo_manager.h; UI/app/PanelManager.h; UI/tools/palette_color_tools.h; UI/panels/DocumentTabsPanel.h; UI/panels/MenuBarPanel.h; UI/panels/RightRailPanels.h; UI/panels/StatsPanels.h; UI/panels/ToolbarPanel.h; UI/panels/ToolboxPanel.h; UI/panels/UtilityPanels.h; imgui.h; imgui_impl_sdl2.h; imgui_impl_sdlrenderer2.h; cstdio; cstdlib,bg_editor_init; bg_editor_new_frame; editor_canvas_top_y; bg_editor_canvas_top_px; bg_editor_shutdown; bg_editor_request_close; bg_editor_take_close_approved; bg_editor_wants_input; bg_editor_wants_wheel; bg_editor_wants_keyboard,35f2c8557f10f4b0fbc0dc405a91ec957670881a1acaba4f1115b590082ec88b
platform/UI/app/editor_lifecycle.h,yes,96,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,editor_canvas_top_y,5c13885e1f06548642472b45cfd10fa1d20272e5b34705bf1237e0ed1b9367fd
platform/UI/app/editor_render.cpp,yes,4634,146,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; Core/editor_commands.h; UI/app/PanelManager.h; UI/tools/stage_share_bundle.h; imgui.h; imgui_impl_sdlrenderer2.h; cstdio; cstring; strings.h,find_img_by_label_casefold; bg_editor_render,3e22d59101367cf787394a8fa16c5ad12a875d347ea22903cc99b53801cce67d
platform/UI/app/save_project.cpp,yes,11257,322,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; Core/path_utils.h; Core/project_header.h; UI/dialogs/native_file_dialogs.h; UI/tools/palette_color_tools.h; cerrno; climits; cstdio; cstring; sys/stat.h; windows.h; strings.h,backup_to_tmp; derive_path_with_ext; project_has_bdb_save_data; path_is_anchored; project_save_location_is_set; set_project_save_paths_from_any; suggested_save_name; prompt_for_project_save_location; ensure_companion_save_paths; ensure_bdb_header_for_save; save_all_project; save_all_dirty_documents,9c7cfb3499b2828d7e21ef79781d9a3ea955d97f8e3e9941708172a180cdb473
platform/UI/app/settings.cpp,yes,2458,74,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,bg_editor_globals.h; cstdio,settings_save; settings_load; settings_load_runtime_autoload_pref_once,ee0880af37c191a5c966aef0a224fdebd18ac9040ffbf6ddee3b3de600a1018e
platform/UI/app/settings.h,yes,99,7,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,settings_save; settings_load,7e42782c1f0b7f102ede89af76d2020cf700a0e5fd45b6f00f87d4e1038a54cc
platform/UI/app/stage_open.cpp,yes,2298,95,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; cstdio; cstring,enter_edit_layout_after_stage_load; open_stage_path_now; open_mk2_tool,76fbf9f0a348ce8072865b6dfb5b04e236031050e18f8d2e42af335a41eacc26
platform/UI/assets/app_icon.cpp,yes,3874,135,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,UI/assets/app_icon.h; libs/stb_image.h; cstdio; SDL_syswm.h; windows.h,bdd_prepare_app_identity; try_set_windows_resource_icon; bdd_prepare_app_identity; try_set_app_icon; bdd_set_app_icon,e4ee3c6fed99097128fb880c900023a4a689be60d8f363f64a18b32578ffc02b
platform/UI/assets/app_icon.h,yes,228,17,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,SDL.h,bdd_prepare_app_identity; bdd_set_app_icon,ddf077bc195334303c0bc2cdb9e6423f07fdf3a05d8221144e11115bb59cc935
platform/UI/assets/image_asset_helpers.cpp,yes,8278,226,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,bg_editor_globals.h; undo_manager.h; cstdio; cstdlib; cstring; vector; strings.h,text_contains_ci; image_matches_known_lod_source; image_matches_search; image_is_imported_asset; image_passes_list_filter; collect_matching_imported_images; select_matching_imported_image_uses; delete_matching_imported_images_and_uses; delete_unused_images_impl,0e7ec116ec38b058c4bc96d635369e30186edead5cc7c9b43a01763f02e1f50b
platform/UI/assets/image_draw_helpers.cpp,yes,2342,63,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,UI/assets/image_draw_helpers.h; UI/assets/texture_cache.h; imgui.h,draw_checkerboard_background; draw_transparent_image; draw_editor_texture_transparent; draw_editor_texture_transparent_uv; draw_solid_backdrop_image,395b0eac20030921c0c046cbc89f37852c23043c5f25b45af1e4270712cce50c
platform/UI/assets/image_draw_helpers.h,yes,377,11,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,SDL.h,draw_editor_texture_transparent; draw_editor_texture_transparent_uv,7b6a81532f319f72bcaf174a012f1f8c43796113c1f5b123bd810a2e2e3ef6ce
platform/UI/assets/preview_image_file.cpp,yes,2147,72,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,Core/path_utils.h; UI/assets/preview_image_file.h; UI/sdl/sdl_context.h; imgui.h; libs/stb_image.h; cstdio; cstring; cstdint,clear_preview_image_file_texture; load_preview_texture; draw_preview_image_file,57cc2fdf9158d92d72d6f816be3e1a62e2432a8bc3b78eaa6749ef03e524d925
platform/UI/assets/preview_image_file.h,yes,179,7,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,clear_preview_image_file_texture; draw_preview_image_file,54f58d0623b2c22584f625236aea0a9168e8537588f35b7e0031e7d888593602
platform/UI/assets/texture_cache.cpp,yes,6323,203,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,UI/assets/texture_cache.h; Core/editor_app_globals.h; Core/editor_project_globals.h; Core/editor_project_storage.h; cstdlib,destroy_texture_array; texture_variants_clear; bdd_texture_cache_set_renderer; bdd_texture_cache_rebuild_all; bdd_texture_cache_destroy; bdd_texture_cache_refresh_if_needed,610de6c1910fe5e3ac6c4eea62c23f56a36a1159e36a94d0b1a4882993d71243
platform/UI/assets/texture_cache.h,yes,814,30,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,SDL.h,bdd_texture_cache_set_renderer; bdd_texture_cache_rebuild_all; bdd_texture_cache_destroy; bdd_texture_cache_refresh_if_needed,4907af3e641b10fc17ef78c383513c4da03f5975040f6c9817cc56f4152fd691
platform/UI/dialogs/background_picker.cpp,yes,710,20,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,Core/editor_app_globals.h; Core/editor_project_globals.h; UI/dialogs/background_picker.h; UI/view/right_panel_layout.h; imgui.h,draw_bg_picker,27537791521ca35e2253ced3388477482f438a8de1e217d7e851900ba36fda26
platform/UI/dialogs/background_picker.h,yes,92,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,draw_bg_picker,4462361a7791422396c7cff33af5a021564d05818f5f097e2172e7507ffc0b2f
platform/UI/dialogs/grid_settings.cpp,yes,881,27,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,Core/editor_app_globals.h; Core/editor_project_globals.h; UI/dialogs/grid_settings.h; UI/view/right_panel_layout.h; imgui.h,draw_grid_settings,0f31bde0d3ea99bb115fcfa85aa6002b8070b29877aba3638f3cad89ef1129e3
platform/UI/dialogs/grid_settings.h,yes,88,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,draw_grid_settings,fcd9e314895024601a1ebdd4a8e1bcf496caa6c01476ae5bb51f9c87c2915e33
platform/UI/dialogs/image_index_editor.cpp,yes,1578,39,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Cancel,Core/editor_app_globals.h; Core/editor_project_globals.h; UI/dialogs/image_index_editor.h; imgui.h; undo_manager.h; stdlib.h,draw_img_idx_edit,1e2902e47ec9480e9d76fd861f44c7f67cb66c1e33e173812aeed7b5ee529335
platform/UI/dialogs/image_index_editor.h,yes,97,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,draw_img_idx_edit,656a91db3666f087d38fb047d00b9dc36c8f8ab5537341a56b6f31e9efb12ffc
platform/UI/dialogs/img_import_picker.cpp,yes,16513,409,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Optimize selected after import; Trim; Compact palettes; Treat IMG index 0 as transparent; Skip labels already in BDD; Select Visible; Select New; Clear Visible; ##use; Import Selected,bg_editor.h; bg_editor_globals.h; Core/img_format.h; imgui.h; stdio.h; stdlib.h; string.h; vector,img_picker_text_contains_ci; img_import_discard_preview_textures; img_import_choices_clear; img_import_choice_matches_filter; open_img_import_picker; draw_img_import_picker,42555f141a502f2dc837e0af1e99b9d54a5de64776f44610a798ac24e888abe9
platform/UI/dialogs/info_dialogs.cpp,yes,4264,106,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Close,Core/app_version.h; Core/editor_app_globals.h; UI/dialogs/info_dialogs.h; UI/view/right_panel_layout.h; imgui.h,draw_help; draw_about,7cc96fde8ddd6abde102680532c60099978dc73518f4cce6c9ad09e80356558b
platform/UI/dialogs/info_dialogs.h,yes,100,7,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,draw_help; draw_about,2a5d80499ee35642fc9e02e11abe32620191ff67d116e936146d667cf2ba5622
platform/UI/dialogs/native_file_dialogs.cpp,yes,5121,165,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,utils/compat.h; UI/dialogs/native_file_dialogs.h; cstdio; cstring; commdlg.h; shlobj.h; cstdio,file_dialog_open; append_default_ext; file_dialog_save_ext; file_dialog_save; folder_dialog_open,ca867250a0d7a5814ceb2d4f057489482487e988b15b2526c7dd394c530429d2
platform/UI/dialogs/native_file_dialogs.h,yes,638,13,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,file_dialog_open; file_dialog_save; file_dialog_save_ext; folder_dialog_open,fa562270f7771933f6f7aa978bac718dd81d07ec870c510f1e3d49e1ea4bf107
platform/UI/dialogs/new_project_dialog.cpp,yes,8936,210,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,##card; Create; Cancel; Cancel; Create; Cancel,bg_editor_globals.h; Core/project_header.h; imgui.h; undo_manager.h; cstdlib; cstdio; cstring,open_new_mk2_project_from_template; new_project_apply; draw_new_project,5e5370ae12acd05b10cfa9a4385a91f4f3171bb706e0c6951f2a8fc526daf3c7
platform/UI/dialogs/preferences_panel.cpp,yes,2215,59,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,Auto-load runtime extras and animations,Core/editor_app_globals.h; Core/editor_project_globals.h; bg_editor.h; UI/dialogs/preferences_panel.h; UI/tools/mk2_runtime_actor_tool.h; UI/view/right_panel_layout.h; UI/app/settings.h; imgui.h,draw_preferences,9432dd88c0c6809409f1f1e644ec5c1ae1e8775f9f766672e7c845d756edb870
platform/UI/dialogs/preferences_panel.h,yes,94,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,draw_preferences,13e4896fa045585f2b50e440700189a3d59a508e8dfece2fb92db4e474b42355
platform/UI/dialogs/quit_dialog.cpp,yes,1661,47,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Save && Quit; Discard; Cancel; Quit; Cancel,Core/editor_app_globals.h; Core/editor_project_globals.h; Core/viewer_save.h; UI/dialogs/quit_dialog.h; UI/tools/palette_color_tools.h; imgui.h; stdlib.h,save_all_project; draw_quit_dialog,f9216eea28c97178f466f4143eb41123cc0cc89ad90c740e513c31f0541d4ad4
platform/UI/dialogs/quit_dialog.h,yes,82,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,draw_quit_dialog,f51d4e8692656719e2099a3aa635bc3387f775980e75b4b12c1a2591e38936e1
platform/UI/dialogs/reference_settings.cpp,yes,1852,48,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Load PNG...; Clear,Core/editor_project_globals.h; Core/editor_app_globals.h; UI/dialogs/native_file_dialogs.h; UI/dialogs/reference_settings.h; UI/view/right_panel_layout.h; UI/sdl/sdl_context.h; imgui.h; libs/stb_image.h; stddef.h,draw_ref_settings,b27c53e0ecce9a640298d94ef3d47d1d6285e52c5c3f8cf02125defac8f7b1e3
platform/UI/dialogs/reference_settings.h,yes,97,6,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,draw_ref_settings,d830d4a288ce0fe6a86e17b06d7ab979861b30d6001b9fdeed44fc00e79b208b
platform/UI/dialogs/save_error_popup.cpp,yes,3446,79,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Save Runtime Sidecar; Discard Previews + Save; OK,Core/editor_app_globals.h; UI/dialogs/save_error_popup.h; UI/tools/mk2_runtime_actor_tool.h; UI/view/toast_notifications.h; imgui.h; stdio.h; string.h,save_all_project; open_save_error_popup; draw_save_error_popup,8a832137c3f74c22196e781374cfa8b2b16a9f884d315e26a6910601e0b753c9
platform/UI/dialogs/save_error_popup.h,yes,145,7,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,,open_save_error_popup; draw_save_error_popup,9d424e9a0cdc81bd3411db7f9a78108c04846818b88d2d13714b8570a3315838
platform/UI/dialogs/tile_fill_dialog.cpp,yes,3568,97,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Fit World; Fill; Cancel,bg_editor_globals.h; undo_manager.h; imgui.h; stdio.h; string.h,tile_fill_apply; draw_tile_fill,98aa27e4ea403236c5fadb2ad1a8af2210d21adfe27509e811097cf5fffe0715
platform/UI/dialogs/unsaved_action_dialog.cpp,yes,3446,117,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Save and Continue; Don't Save; Cancel,bg_editor_globals.h; imgui.h; cstdio,has_unsaved_work; clear_unsaved_action; execute_unsaved_action; request_unsaved_action; draw_unsaved_action_prompt,1e171833b215b32df773160e9698a4b8be2bcbb45b32c88be8df24c4bc01eabd
platform/UI/dialogs/verify_dialog.cpp,yes,5203,118,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,Close,bg_editor_globals.h; imgui.h; stdio.h; string.h,draw_verify,1fd9309ec547ab7df7d032129e77f53081cbf54ea977b3a58862197ce0b65758
platform/UI/overlays/alignment_doctor_overlay.cpp,yes,6638,167,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; imgui.h; stdio.h; string.h; vector,alignment_object_screen_rect; draw_alignment_doctor_label; draw_alignment_doctor_overlay,afc8c10f786b1150c1948821cb3b8a6c17e4e99b9353f52348b404782cfaaf2e
platform/UI/overlays/game_view_overlay.cpp,yes,61869,1491,UI/application,Detailed relevant sections inspected,Extract useful services; replace or consolidate presentation and state,|<; >|; V Sweep; Split; Stop; Rec; Pal Anim,bg_editor.h; bg_editor_globals.h; Core/editor_project_storage.h; Core/project_header.h; Core/world_module_utils.h; undo_manager.h; libs/stb_image_write.h; imgui.h; climits; cmath; cstdio; cstdlib; cstring; vector,bounds_reset; bounds_add_rect; rounded_div_nearest; runtime_consider_snap_pair; runtime_consider_snap_target; game_preview_object_bounds_at_source; game_preview_snap_drag_delta; game_view_max_object_order; game_view_clear_selection; clone_game_preview_drag_targets; game_view_report_module_ownership_changes; game_view_project_module_rect; game_view_rewrite_module_bounds; game_view_module_handle_at; game_view_module_body_contains; game_view_set_resize_cursor; game_view_draw_module_handles; draw_game_view_module_resize_overlay; export_game_frame_png; draw_game_view_overlay,0846067662e7123fe497002b19819e5816604ae4143cae760e9b40f421b13beb
platform/UI/overlays/module_bounds_overlay.cpp,yes,19688,481,UI/application,Inventory and text index,Extract useful services; replace or consolidate presentation and state,,bg_editor.h; bg_editor_globals.h; Core/editor_project_storage.h; Core/project_header.h; Core/world_module_utils.h; undo_manager.h; imgui.h; climits; cmath; cstring; stdio.h,module_bounds_project_rect; module_bounds_handle_at; module_bounds_round_nearest; module_bounds_drag_delta; module_bounds_set_cursor; module_bounds_rewrite; module_bounds_draw_handles; module_bounds_cancel_move; draw_module_bounds_overlay,c0ead656d527077a679544c2d055fbe85416089d46a3f2b4815d0428594850f2
